"category","name","value"
"ID","Swab code","# 31211112214610"
"ID","Name","Luna"
"ID","Sex","Female"
"Breed Name","Name","Siberian Husky "
"Breed mix","Siberian Husky","100.0%"
"Breed mix","Trace breeds","-"
"Genetic Stats","Wolfiness","HIGH 2.2"
"Genetic Stats","Life Stage","Senior"
"Genetic Stats","Predicted Adult Weight","54.8 lbs"
"Lineage","MT Haplotype","A465_MT"
"Lineage","MT Haplogroup","A1e_MT"
"Lineage","Y Haplotype",
"Lineage","Y Haplogroup",
"Health","MDR1 Drug Sensitivity (ABCB1)","clear"
"Health","Alanine Aminotransferase Activity (GPT)","clear"
"Health","P2Y12 Receptor Platelet Disorder (P2Y12)","clear"
"Health","Factor IX Deficiency, Hemophilia B (F9 Exon 7, Terrier Variant)","clear"
"Health","Factor IX Deficiency, Hemophilia B (F9 Exon 7, Rhodesian Ridgeback Variant)","clear"
"Health","Factor VII Deficiency (F7 Exon 5)","clear"
"Health","Factor VIII Deficiency, Hemophilia A (F8 Exon 10, Boxer Variant)","clear"
"Health","Factor VIII Deficiency, Hemophilia A (F8 Exon 11, German Shepherd Variant 1)","clear"
"Health","Factor VIII Deficiency, Hemophilia A (F8 Exon 1, German Shepherd Variant 2)","clear"
"Health","Thrombopathia (RASGRP1 Exon 5, Basset Hound Variant)","clear"
"Health","Thrombopathia (RASGRP1 Exon 8, Landseer Variant)","clear"
"Health","Thrombopathia (RASGRP1 Exon 5, American Eskimo Dog Variant)","clear"
"Health","Von Willebrand Disease Type III, Type III vWD (VWF Exon 4, Terrier Variant)","clear"
"Health","Von Willebrand Disease Type III, Type III vWD (VWF Exon 7, Shetland Sheepdog Variant)","clear"
"Health","Von Willebrand Disease Type I, Type I vWD (VWF)","clear"
"Health","Von Willebrand Disease Type III, Type III vWD (VWF Intron 16, Nederlandse Kooikerhondje Variant)","clear"
"Health","Von Willebrand Disease Type II, Type II vWD (VWF, Pointer Variant)","clear"
"Health","Factor XI Deficiency (F11 Exon 7, Kerry Blue Terrier Variant)","clear"
"Health","Canine Leukocyte Adhesion Deficiency Type I, CLAD I (ITGB2, Setter Variant)","clear"
"Health","Canine Leukocyte Adhesion Deficiency Type III, CLAD III (FERMT3, German Shepherd Variant)","clear"
"Health","Congenital Macrothrombocytopenia (TUBB1 Exon 1, Cairn and Norfolk Terrier Variant)","clear"
"Health","Canine Elliptocytosis (SPTB Exon 30)","clear"
"Health","Glanzmann's Thrombasthenia Type I (ITGA2B Exon 13, Great Pyrenees Variant)","clear"
"Health","Glanzmann's Thrombasthenia Type I (ITGA2B Exon 12, Otterhound Variant)","clear"
"Health","May-Hegglin Anomaly (MYH9)","clear"
"Health","Prekallikrein Deficiency (KLKB1 Exon 8)","clear"
"Health","Pyruvate Kinase Deficiency (PKLR Exon 5, Basenji Variant)","clear"
"Health","Pyruvate Kinase Deficiency (PKLR Exon 7, Labrador Retriever Variant)","clear"
"Health","Pyruvate Kinase Deficiency (PKLR Exon 7, Pug Variant)","clear"
"Health","Pyruvate Kinase Deficiency (PKLR Exon 7, Beagle Variant)","clear"
"Health","Pyruvate Kinase Deficiency (PKLR Exon 10, Terrier Variant)","clear"
"Health","Trapped Neutrophil Syndrome, TNS (VPS13B)","clear"
"Health","Ligneous Membranitis, LM (PLG)","clear"
"Health","Platelet Factor X Receptor Deficiency, Scott Syndrome (TMEM16F)","clear"
"Health","Methemoglobinemia (CYB5R3)","clear"
"Health","Bernard-Soulier Syndrome, BSS (GP9, Cocker Spaniel Variant)","clear"
